dataset,noise_type,seed,pair,spearman_corr,spearman_p
CiteSeer,feature_similar_cross_class,5,feature_vs_raw_grad,0.06897920945970556,5.822943376324129e-14
CiteSeer,feature_similar_cross_class,5,feature_vs_pos_grad,0.08592728070462886,7.687258536770134e-21
CiteSeer,feature_similar_cross_class,5,feature_vs_neg_grad,0.015260202813980408,0.09691644535736058
CiteSeer,feature_similar_cross_class,5,feature_vs_hybrid,0.9342282671398403,0.0
CiteSeer,feature_similar_cross_class,6,feature_vs_raw_grad,0.04913755791037417,8.890430118843018e-08
CiteSeer,feature_similar_cross_class,6,feature_vs_pos_grad,0.07040517868923156,1.751391180468248e-14
CiteSeer,feature_similar_cross_class,6,feature_vs_neg_grad,0.03443608247083418,0.0001790927798254424
CiteSeer,feature_similar_cross_class,6,feature_vs_hybrid,0.9338499546608804,0.0
CiteSeer,feature_similar_cross_class,7,feature_vs_raw_grad,0.04918563814272407,8.636705146043715e-08
CiteSeer,feature_similar_cross_class,7,feature_vs_pos_grad,0.07839914212353205,1.332566781892866e-17
CiteSeer,feature_similar_cross_class,7,feature_vs_neg_grad,0.03529604427229163,0.00012281271024885322
CiteSeer,feature_similar_cross_class,7,feature_vs_hybrid,0.9363931204701372,0.0
CiteSeer,feature_similar_cross_class,8,feature_vs_raw_grad,0.029039090566685216,0.0015813424513574212
CiteSeer,feature_similar_cross_class,8,feature_vs_pos_grad,0.0455691987269216,7.076189970275003e-07
CiteSeer,feature_similar_cross_class,8,feature_vs_neg_grad,0.020880330908901835,0.02311929328954155
CiteSeer,feature_similar_cross_class,8,feature_vs_hybrid,0.9353692663397423,0.0
CiteSeer,feature_similar_cross_class,9,feature_vs_raw_grad,0.05238710848352673,1.182691164867417e-08
CiteSeer,feature_similar_cross_class,9,feature_vs_pos_grad,0.06599121068387223,6.677790689080224e-13
CiteSeer,feature_similar_cross_class,9,feature_vs_neg_grad,0.006084998804121471,0.5080430866130157
CiteSeer,feature_similar_cross_class,9,feature_vs_hybrid,0.933297583110489,0.0
CiteSeer,cross_class_oracle,0,feature_vs_raw_grad,0.034181321245072886,0.00019994873360408704
CiteSeer,cross_class_oracle,0,feature_vs_pos_grad,0.04569074288017471,6.609421464012345e-07
CiteSeer,cross_class_oracle,0,feature_vs_neg_grad,0.012562554044528586,0.17177680344314375
CiteSeer,cross_class_oracle,0,feature_vs_hybrid,0.9333066941967818,0.0
CiteSeer,cross_class_oracle,1,feature_vs_raw_grad,0.024528736874801855,0.007620022389262762
CiteSeer,cross_class_oracle,1,feature_vs_pos_grad,0.036648103485289206,6.673028308468649e-05
CiteSeer,cross_class_oracle,1,feature_vs_neg_grad,0.011733284586924787,0.20184773754509813
CiteSeer,cross_class_oracle,1,feature_vs_hybrid,0.9357122005127587,0.0
CiteSeer,cross_class_oracle,2,feature_vs_raw_grad,0.04096313804622429,8.290482741005194e-06
CiteSeer,cross_class_oracle,2,feature_vs_pos_grad,0.0478177398107806,1.947905168821158e-07
CiteSeer,cross_class_oracle,2,feature_vs_neg_grad,-0.00047180429584419846,0.9590709860538155
CiteSeer,cross_class_oracle,2,feature_vs_hybrid,0.9319448226254443,0.0
CiteSeer,cross_class_oracle,3,feature_vs_raw_grad,0.027425175231345345,0.0028481238344438735
CiteSeer,cross_class_oracle,3,feature_vs_pos_grad,0.03650152628119905,7.136365565546245e-05
CiteSeer,cross_class_oracle,3,feature_vs_neg_grad,0.006960796263177395,0.4489577448420594
CiteSeer,cross_class_oracle,3,feature_vs_hybrid,0.9335444655927944,0.0
CiteSeer,cross_class_oracle,4,feature_vs_raw_grad,0.010986398217434619,0.23206505484202386
CiteSeer,cross_class_oracle,4,feature_vs_pos_grad,0.01771603592491085,0.053958164611347295
CiteSeer,cross_class_oracle,4,feature_vs_neg_grad,0.009582989746438215,0.29723016398128865
CiteSeer,cross_class_oracle,4,feature_vs_hybrid,0.9328634961695236,0.0
CiteSeer,cross_class_oracle,5,feature_vs_raw_grad,0.026237641253256592,0.004311407623990377
CiteSeer,cross_class_oracle,5,feature_vs_pos_grad,0.036694450694444145,6.532547064244696e-05
CiteSeer,cross_class_oracle,5,feature_vs_neg_grad,0.014144706353422154,0.12389346584833645
CiteSeer,cross_class_oracle,5,feature_vs_hybrid,0.9318202593184464,0.0
CiteSeer,cross_class_oracle,6,feature_vs_raw_grad,0.028381028120828152,0.002017099879713927
CiteSeer,cross_class_oracle,6,feature_vs_pos_grad,0.029807938230368224,0.0011827387553438398
CiteSeer,cross_class_oracle,6,feature_vs_neg_grad,-0.00825301679724815,0.3693358054194599
CiteSeer,cross_class_oracle,6,feature_vs_hybrid,0.9348889998679472,0.0
CiteSeer,cross_class_oracle,7,feature_vs_raw_grad,0.043645952954236275,2.0366686091169467e-06
CiteSeer,cross_class_oracle,7,feature_vs_pos_grad,0.052309212610200335,1.2430652991939511e-08
CiteSeer,cross_class_oracle,7,feature_vs_neg_grad,0.000655507884213385,0.943157905438249
CiteSeer,cross_class_oracle,7,feature_vs_hybrid,0.9318926019341107,0.0
CiteSeer,cross_class_oracle,8,feature_vs_raw_grad,0.0019399303548191015,0.832878173806872
CiteSeer,cross_class_oracle,8,feature_vs_pos_grad,0.007183343945628509,0.4345897391790154
CiteSeer,cross_class_oracle,8,feature_vs_neg_grad,0.009857954526875812,0.28358424211584315
CiteSeer,cross_class_oracle,8,feature_vs_hybrid,0.9339553312316627,0.0
CiteSeer,cross_class_oracle,9,feature_vs_raw_grad,0.02308329834944354,0.012033267901955816
CiteSeer,cross_class_oracle,9,feature_vs_pos_grad,0.04596420053714569,5.665213832112534e-07
CiteSeer,cross_class_oracle,9,feature_vs_neg_grad,0.025804538088961312,0.004995920791761226
CiteSeer,cross_class_oracle,9,feature_vs_hybrid,0.934653941989163,0.0
CiteSeer,low_feature_similarity,0,feature_vs_raw_grad,0.01878484327649346,0.04100708249460732
CiteSeer,low_feature_similarity,0,feature_vs_pos_grad,0.020147181780058202,0.02840220392971068
CiteSeer,low_feature_similarity,0,feature_vs_neg_grad,-0.0030275077849047007,0.7419206705820995
CiteSeer,low_feature_similarity,0,feature_vs_hybrid,0.9237769470165659,0.0
CiteSeer,low_feature_similarity,1,feature_vs_raw_grad,0.020312712911850505,0.02712622819660307
CiteSeer,low_feature_similarity,1,feature_vs_pos_grad,0.029718281184549184,0.0012238966884093015
CiteSeer,low_feature_similarity,1,feature_vs_neg_grad,0.0070759396819072545,0.44149051374160964
CiteSeer,low_feature_similarity,1,feature_vs_hybrid,0.9296359838935809,0.0
CiteSeer,low_feature_similarity,2,feature_vs_raw_grad,0.0287301310065849,0.0017738297845418432
CiteSeer,low_feature_similarity,2,feature_vs_pos_grad,0.02699010306315747,0.0033213020246439856
CiteSeer,low_feature_similarity,2,feature_vs_neg_grad,-0.013359395772744786,0.14616757260062782
CiteSeer,low_feature_similarity,2,feature_vs_hybrid,0.9217568323525601,0.0
CiteSeer,low_feature_similarity,3,feature_vs_raw_grad,0.022511889993858284,0.01432576813995524
CiteSeer,low_feature_similarity,3,feature_vs_pos_grad,0.021938221591156982,0.017006518972290937
CiteSeer,low_feature_similarity,3,feature_vs_neg_grad,-0.007629867843959982,0.4065764418601835
CiteSeer,low_feature_similarity,3,feature_vs_hybrid,0.9237031136694781,0.0
CiteSeer,low_feature_similarity,4,feature_vs_raw_grad,0.012379231507699045,0.1781174686199596
