dataset,noise_type,seed,score,auc
CiteSeer,feature_similar_cross_class,6,shuffled_hybrid,0.5957550358253346
CiteSeer,feature_similar_cross_class,7,feature_risk,0.755887763378976
CiteSeer,feature_similar_cross_class,7,raw_grad,0.493560472553223
CiteSeer,feature_similar_cross_class,7,pos_grad,0.48470428407269356
CiteSeer,feature_similar_cross_class,7,neg_grad,0.490586897358646
CiteSeer,feature_similar_cross_class,7,hybrid,0.6084903307003483
CiteSeer,feature_similar_cross_class,7,shuffled_hybrid,0.6064500086907819
CiteSeer,feature_similar_cross_class,8,feature_risk,0.7581543676007647
CiteSeer,feature_similar_cross_class,8,raw_grad,0.46873893534701977
CiteSeer,feature_similar_cross_class,8,pos_grad,0.4570930662044458
CiteSeer,feature_similar_cross_class,8,neg_grad,0.48967223279064226
CiteSeer,feature_similar_cross_class,8,hybrid,0.6086664799757945
CiteSeer,feature_similar_cross_class,8,shuffled_hybrid,0.6081406071959674
CiteSeer,feature_similar_cross_class,9,feature_risk,0.7614062087590208
CiteSeer,feature_similar_cross_class,9,raw_grad,0.48015379465291597
CiteSeer,feature_similar_cross_class,9,pos_grad,0.4672926846147408
CiteSeer,feature_similar_cross_class,9,neg_grad,0.4866636128224441
CiteSeer,feature_similar_cross_class,9,hybrid,0.6129639107231373
CiteSeer,feature_similar_cross_class,9,shuffled_hybrid,0.6087116237599541
CiteSeer,cross_class_oracle,0,feature_risk,0.9001906741471768
CiteSeer,cross_class_oracle,0,raw_grad,0.47193460830323747
CiteSeer,cross_class_oracle,0,pos_grad,0.4627901152011434
CiteSeer,cross_class_oracle,0,neg_grad,0.49172025982219303
CiteSeer,cross_class_oracle,0,hybrid,0.7499161500479602
CiteSeer,cross_class_oracle,0,shuffled_hybrid,0.749861269369178
CiteSeer,cross_class_oracle,1,feature_risk,0.8992939946696538
CiteSeer,cross_class_oracle,1,raw_grad,0.5065553643047054
CiteSeer,cross_class_oracle,1,pos_grad,0.499396171710539
CiteSeer,cross_class_oracle,1,neg_grad,0.4915223433567019
CiteSeer,cross_class_oracle,1,hybrid,0.7548857484050807
CiteSeer,cross_class_oracle,1,shuffled_hybrid,0.7498426002819675
CiteSeer,cross_class_oracle,2,feature_risk,0.8933138514970678
CiteSeer,cross_class_oracle,2,raw_grad,0.4732880567733378
CiteSeer,cross_class_oracle,2,pos_grad,0.4677263586589157
CiteSeer,cross_class_oracle,2,neg_grad,0.49606088295126083
CiteSeer,cross_class_oracle,2,hybrid,0.738596084641779
CiteSeer,cross_class_oracle,2,shuffled_hybrid,0.7405348532545368
CiteSeer,cross_class_oracle,3,feature_risk,0.9027115239769018
CiteSeer,cross_class_oracle,3,raw_grad,0.477270849025023
CiteSeer,cross_class_oracle,3,pos_grad,0.46888042208231134
CiteSeer,cross_class_oracle,3,neg_grad,0.49306761267437893
CiteSeer,cross_class_oracle,3,hybrid,0.7582181000019312
CiteSeer,cross_class_oracle,3,shuffled_hybrid,0.7580699543573006
CiteSeer,cross_class_oracle,4,feature_risk,0.895172270611638
CiteSeer,cross_class_oracle,4,raw_grad,0.4698458432311684
CiteSeer,cross_class_oracle,4,pos_grad,0.4571220354777033
CiteSeer,cross_class_oracle,4,neg_grad,0.4882712666653791
CiteSeer,cross_class_oracle,4,hybrid,0.747766629972254
CiteSeer,cross_class_oracle,4,shuffled_hybrid,0.7454679181392714
CiteSeer,cross_class_oracle,5,feature_risk,0.9013481575542208
CiteSeer,cross_class_oracle,5,raw_grad,0.4717631665346956
CiteSeer,cross_class_oracle,5,pos_grad,0.46459059576919864
CiteSeer,cross_class_oracle,5,neg_grad,0.49396656543515066
CiteSeer,cross_class_oracle,5,hybrid,0.7496895459549239
CiteSeer,cross_class_oracle,5,shuffled_hybrid,0.7497784655297836
CiteSeer,cross_class_oracle,6,feature_risk,0.901926859022641
CiteSeer,cross_class_oracle,6,raw_grad,0.48402119263279186
CiteSeer,cross_class_oracle,6,pos_grad,0.47376186533150505
CiteSeer,cross_class_oracle,6,neg_grad,0.48998998950668543
CiteSeer,cross_class_oracle,6,hybrid,0.7569656617547655
