dataset,noise_type,seed,score,residual_auc,residual_direction,residual_spearman,residual_spearman_p
Cora,low_feature_similarity,1,hybrid,0.5203257326027274,negative,-0.029663648519885365,0.0005103282916549705
Cora,low_feature_similarity,2,raw_grad,0.6448671489923369,negative,-0.21191938803629368,4.081664259476203e-139
Cora,low_feature_similarity,2,pos_grad,0.723157344267687,negative,-0.3270925477213271,0.0
Cora,low_feature_similarity,2,hybrid,0.5385817049615599,negative,-0.056306661004021194,4.0990931674470605e-11
Cora,low_feature_similarity,3,raw_grad,0.5980016604281422,negative,-0.14318828147673707,9.068539108061981e-64
Cora,low_feature_similarity,3,pos_grad,0.6798381438632382,negative,-0.2632412035536089,2.884955098647726e-216
Cora,low_feature_similarity,3,hybrid,0.5250884073558175,negative,-0.03661436034346831,1.7860209400503127e-05
Cora,low_feature_similarity,4,raw_grad,0.6217483082735115,negative,-0.17799273230495094,4.6474198634361785e-98
Cora,low_feature_similarity,4,pos_grad,0.6252211081553556,positive,0.18335131815583217,4.908637940516542e-104
Cora,low_feature_similarity,4,hybrid,0.556084123252529,negative,-0.0818499265042385,7.748546323800573e-22
Cora,low_feature_similarity,5,raw_grad,0.6090489443899599,negative,-0.1593649345506705,9.714528586886887e-79
Cora,low_feature_similarity,5,pos_grad,0.688722161527235,negative,-0.27623247464777356,8.31273763398595e-239
Cora,low_feature_similarity,5,hybrid,0.5337909634313233,negative,-0.04931498814846236,7.479195448773302e-09
Cora,low_feature_similarity,6,raw_grad,0.5927599354595783,negative,-0.13554401321155388,2.850675987991584e-57
Cora,low_feature_similarity,6,pos_grad,0.6738610274427252,negative,-0.2544911803344029,8.730864107371321e-202
Cora,low_feature_similarity,6,hybrid,0.5231075751094484,negative,-0.03372350702513038,7.777095384263165e-05
Cora,low_feature_similarity,7,raw_grad,0.5835176774017801,negative,-0.12200893961476746,1.1523230540729587e-46
Cora,low_feature_similarity,7,pos_grad,0.66494503818877,negative,-0.24140605154872208,3.6590518370342953e-181
Cora,low_feature_similarity,7,hybrid,0.50874133490619,negative,-0.012757222154278651,0.13509260889058491
Cora,low_feature_similarity,8,raw_grad,0.6162839940136976,negative,-0.1699611875688453,1.8752240963147473e-89
Cora,low_feature_similarity,8,pos_grad,0.6908823458655184,negative,-0.279466143288992,1.2978996217643881e-244
Cora,low_feature_similarity,8,hybrid,0.544100686600741,negative,-0.0643611373044959,4.4724185576887033e-14
Cora,low_feature_similarity,9,raw_grad,0.5995496419301612,negative,-0.14546595707578985,8.918915935403166e-66
Cora,low_feature_similarity,9,pos_grad,0.6728699380759524,negative,-0.25300370430806696,2.2252351925392004e-199
Cora,low_feature_similarity,9,hybrid,0.5369491640648545,negative,-0.05392410878603014,2.603066163391897e-10
CiteSeer,feature_similar_cross_class,0,raw_grad,0.6711429424412729,negative,-0.24975614937766796,9.624259380659139e-168
CiteSeer,feature_similar_cross_class,0,pos_grad,0.7033262559789362,negative,-0.296722726977846,3.9547056544139776e-239
