dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean,hp_num_views,hp_edge_dropout_rates,hp_use_gradient_confidence,hp_gradient_abstention_threshold,hp_checkpoint_control,diag_num_views,diag_use_gradient_confidence,diag_gradient_abstention_threshold,diag_feature_sim_mean,diag_raw_edge_score_mean,diag_raw_edge_score_std,diag_node_instability_mean,diag_node_entropy_mean,diag_node_jsd_mean,diag_node_confidence_mean,diag_projection_ratio,diag_residual_mean,diag_residual_std,diag_abstention_fraction,diag_edge_score_mean,diag_edge_score_std,diag_gradient_confidence_mean,diag_gradient_confidence_std,diag_projection_beta,diag_alpha,diag_residual_feature_sim_corr,diag_residual_auc
Cora,feature_similar_cross_class,0.3,6,Feature-only,feature_only,GCN,0.569,0.5620907940972384,0.606,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,0.8448586463928223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,6,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.575,0.5733092363197893,0.592,0.0007288629737609329,0.0006317119393556538,0.0006768189509306261,0.19997084973036006,0.6230869889259338,0.5919110774993896,13722,10978,1.3927481174468994,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8427222967147827,6.500345506310623e-08,5.332340720087814e-07,4.6823058141853835e-07,0.29999998211860657,0.3006034195423126,0.4730399156249244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,6,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.607,0.6031561760698294,0.59,0.13556851311953352,0.11749842072015161,0.12588832487309645,0.19997084973036006,0.6230869889259338,0.6186919212341309,13722,10978,2.339106559753418,0.1,0.5,0.3,,0.1,0.5,,0.8427222967147827,,,,0.3567865788936615,0.3452146053314209,0.5083494173720065,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,4.433588571828295e-07,0.8233857750892639,0.4498295783996582,0.4999999403953552,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,6,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.655,0.629290351369954,0.652,0.336734693877551,0.29185091598231205,0.31269035532994927,0.19997084973036006,0.6230869889259338,0.6684277653694153,13722,10978,2.936113119125366,,,0.3,,,,,0.8427222967147827,,,,,,0.702447219497996,,,200.0,stability_residual,,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,0.1572776883840561,0.7534596920013428,0.40774697065353394,0.5,0.7932660579681396,0.02817925624549389,0.7273784279823303,0.0004927725531160831,0.4999999701976776,0.2887066900730133,0.10005829483270645,0.7249176502227783,0.33315905928611755,0.9999999403953552,0.0,0.022199291735887527,0.5,0.0010277481051161885,0.6764765638221756
Cora,feature_similar_cross_class,0.3,6,Random-Matched,random_matched,GCN,0.641,0.6290378317315842,0.656,0.26749271137026237,0.23183828174352494,0.24839255499153975,0.19997084973036006,0.6230869889259338,0.6294406652450562,13722,10978,0.7403950691223145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,7,Feature-only,feature_only,GCN,0.601,0.5863231134308721,0.58,0.08454810495626822,0.07327858496525584,0.07851099830795262,0.19997084973036006,0.6230869889259338,0.6063035130500793,13722,10978,0.740837574005127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,7,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.58,0.568942311776459,0.586,0.0007288629737609329,0.0006317119393556538,0.0006768189509306261,0.19997084973036006,0.6230869889259338,0.5935507416725159,13722,10978,1.3197476863861084,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.842790424823761,5.0198345036278624e-08,5.124305175741029e-07,4.622321796432516e-07,0.2999999523162842,0.29924607276916504,0.47563169398619326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,7,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.626,0.6243314635567137,0.584,0.14795918367346939,0.12823752368919772,0.1373942470389171,0.19997084973036006,0.6230869889259338,0.6199672222137451,13722,10978,2.3059606552124023,0.1,0.5,0.3,,0.1,0.5,,0.842790424823761,,,,0.3236580789089203,0.358529269695282,0.4725352522311592,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.0284227158763315e-07,0.9130957126617432,0.5669575929641724,0.4999999701976776,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,7,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.659,0.6423165258720208,0.638,0.33527696793002915,0.29058749210360074,0.311336717428088,0.19997084973036006,0.6230869889259338,0.6693386435508728,13722,10978,3.0549192428588867,,,0.3,,,,,0.842790424823761,,,,,,0.7086244837568165,,,200.0,stability_residual,,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,0.15720956027507782,0.7453303337097168,0.4013712406158447,0.5,0.6648738384246826,0.10752178728580475,0.7695607542991638,0.0004254801315255463,0.4999999701976776,0.2887066900730133,0.10005829483270645,0.7243955731391907,0.3319721221923828,0.9999999403953552,0.0,0.02062792330980301,0.5,0.0010453573195263743,0.6800078910132933
Cora,feature_similar_cross_class,0.3,7,Random-Matched,random_matched,GCN,0.635,0.6215577128003871,0.612,0.21793002915451895,0.18888186986734049,0.20236886632825718,0.19997084973036006,0.6230869889259338,0.6234286427497864,13722,10978,0.738579511642456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
