test_acc,test_f1,val_acc,runtime,num_edges_after,actual_prune_ratio,dataset,noise_type,noise_ratio,seed,method,downstream_model
0.555,0.5301900087437282,0.578,3.4145631790161133,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,4,LDS-Proxy,GCN
0.568,0.552097655705503,0.584,0.7081563472747803,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,5,Feature-only,GCN
0.544,0.5251989699809936,0.582,0.6385340690612793,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,5,Random-Matched,GCN
0.541,0.5279573667166464,0.584,0.4407234191894531,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,5,GCN-Jaccard,GCN
0.513,0.4946393049920486,0.574,0.24905729293823242,9848,0.1678215311813419,CiteSeer,feature_similar_cross_class,0.3,5,DegreeAwareRandom,GCN
0.543,0.5197216884741628,0.604,2.563497304916382,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,5,StabilityResidual-frozen,GCN
0.581,0.5603312223440761,0.594,0.7666409015655518,12427,-0.05010985296602999,CiteSeer,feature_similar_cross_class,0.3,5,IDGL-Proxy,GCN
0.517,0.48376757329368214,0.576,1.4996356964111328,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,5,ProGNN-Proxy,GCN
0.554,0.5317995989753569,0.6,3.4963557720184326,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,5,LDS-Proxy,GCN
0.573,0.539109147520078,0.562,0.5154869556427002,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,6,Feature-only,GCN
0.568,0.5482738072048546,0.568,0.8101046085357666,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,6,Random-Matched,GCN
0.568,0.5331494572371417,0.552,0.35897111892700195,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,6,GCN-Jaccard,GCN
0.556,0.5146086612573497,0.568,0.24696969985961914,9812,0.17086361331755962,CiteSeer,feature_similar_cross_class,0.3,6,DegreeAwareRandom,GCN
0.571,0.5291705274463895,0.586,2.871561288833618,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,6,StabilityResidual-frozen,GCN
0.582,0.5570748332794918,0.602,0.6767659187316895,12335,-0.042335643062362704,CiteSeer,feature_similar_cross_class,0.3,6,IDGL-Proxy,GCN
0.552,0.5366994826221908,0.57,1.8709733486175537,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,6,ProGNN-Proxy,GCN
0.568,0.5354357861840295,0.57,3.0064117908477783,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,6,LDS-Proxy,GCN
0.559,0.5416943535850303,0.568,0.7422518730163574,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,7,Feature-only,GCN
0.54,0.5088424942740596,0.558,0.5217018127441406,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,7,Random-Matched,GCN
0.547,0.5291067311296361,0.56,0.6161494255065918,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,7,GCN-Jaccard,GCN
0.568,0.5382101789566284,0.586,0.7072186470031738,9844,0.16815954030758828,CiteSeer,feature_similar_cross_class,0.3,7,DegreeAwareRandom,GCN
0.594,0.5758254972915695,0.594,2.8620338439941406,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,7,StabilityResidual-frozen,GCN
0.607,0.5853129181255988,0.634,1.1010041236877441,12669,-0.07055940510393777,CiteSeer,feature_similar_cross_class,0.3,7,IDGL-Proxy,GCN
0.518,0.49959353960475084,0.544,1.6491279602050781,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,7,ProGNN-Proxy,GCN
0.567,0.5468226738452312,0.574,3.3987581729888916,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,7,LDS-Proxy,GCN
0.543,0.5274738108359974,0.55,0.7327702045440674,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,8,Feature-only,GCN
0.538,0.5176495263818937,0.538,0.4986703395843506,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,8,Random-Matched,GCN
0.536,0.5218702972200607,0.558,0.5488390922546387,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,8,GCN-Jaccard,GCN
