dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_score_ratio,hp_lambda_pos,hp_lambda_neg,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_lambda_pos,diag_lambda_neg,diag_consistency_weight,diag_num_checkpoints,diag_feature_risk_mean,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,diag_mode,diag_degree_norm,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,hp_num_views,hp_edge_dropout_rates,hp_use_gradient_confidence,hp_gradient_abstention_threshold,hp_checkpoint_control,diag_num_views,diag_use_gradient_confidence,diag_gradient_abstention_threshold,diag_skip_residualization,diag_feature_sim_mean,diag_raw_edge_score_mean,diag_raw_edge_score_std,diag_node_instability_mean,diag_node_entropy_mean,diag_node_jsd_mean,diag_node_confidence_mean,diag_projection_ratio,diag_residual_mean,diag_residual_std,diag_abstention_fraction,diag_edge_score_mean,diag_edge_score_std,diag_gradient_confidence_mean,diag_gradient_confidence_std,diag_projection_beta,diag_alpha,diag_residual_feature_sim_corr,diag_residual_auc,diag_raw_stability_auc,diag_feature_risk_auc
Wisconsin,degree_aligned_random,0.3,9,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.6274509803921569,0.37879227053140097,0.6875,0.35833333333333334,0.31386861313868614,0.33463035019455256,0.2016806722689075,0.2235294133424759,0.23789472877979279,1190,950,0.6434905529022217,0.3,0.1,0.5,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,0.1,0.5,3.0,4.0,0.6592423319816589,1.0671371455828194e-05,0.7676470875740051,0.3230098485946655,0.5,0.29486289620399475,0.4259505569934845,0.6247728938896504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,9,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.5882352941176471,0.32759562841530054,0.7,0.3416666666666667,0.29927007299270075,0.31906614785992216,0.2016806722689075,0.2235294133424759,0.2231578826904297,1190,950,0.38096141815185547,0.3,0.1,0.5,,,,,0.1,0.5,,,0.6592423319816589,,,,,0.30000001192092896,0.3058607876300812,0.6111544959041214,feature_pos_neg,False,6.703958933940157e-05,0.00030301217339001596,0.000235972591326572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,9,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.6078431372549019,0.39966250854408747,0.7,0.4166666666666667,0.36496350364963503,0.38910505836575876,0.2016806722689075,0.2235294133424759,0.22526314854621887,1190,950,1.1871306896209717,0.3,,,,,200.0,stability_residual,,,,,0.6592423319816589,,,,,,,0.6343591623370414,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,False,0.34075769782066345,0.7718688249588013,0.3848835229873657,0.5000000596046448,0.8867915868759155,0.06466979533433914,0.6694615483283997,0.012072153389453888,0.5,0.2890393137931824,0.10000000149011612,0.7287920117378235,0.3292078375816345,1.0,0.0,0.10991953313350677,0.5,-0.006567415781319141,0.5105982851496509,0.5255872884327288,0.6429891945303285
Wisconsin,degree_aligned_random,0.3,9,Random-Matched,random_matched,GCN,0.5686274509803921,0.2363636363636364,0.6375,0.25833333333333336,0.22627737226277372,0.24124513618677046,0.2016806722689075,0.2235294133424759,0.22526314854621887,1190,950,0.2100832462310791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,clean,0.0,0,Feature-only,feature_only,GCN,0.6274509803921569,0.4376100628930818,0.6625,0.0,0.0,0.0,0.20305676855895194,0.19213974475860596,0.2054794579744339,916,730,0.20513534545898438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,clean,0.0,0,GCN-Jaccard,jaccard,GCN,0.5490196078431373,0.355026455026455,0.675,0.0,0.0,0.0,0.20305676855895194,0.19213974475860596,0.20000000298023224,916,730,0.18701601028442383,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,clean,0.0,0,DegreeAwareRandom,degree_aware_random,GCN,0.5686274509803921,0.3106970324361628,0.6125,0.0,0.0,0.0,0.1834061135371179,0.19213974475860596,0.18449197709560394,916,748,0.186143159866333,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,clean,0.0,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.5490196078431373,0.2942657342657343,0.65,0.0,0.0,0.0,0.20305676855895194,0.19213974475860596,0.21917808055877686,916,730,0.6169581413269043,0.3,0.1,0.5,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,0.1,0.5,3.0,4.0,0.6471084356307983,-3.0427649107878096e-05,0.8624454140663147,0.41949939727783203,0.5000000596046448,0.31433215737342834,0.36217933893203735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,clean,0.0,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.6274509803921569,0.4271338724168913,0.6875,0.0,0.0,0.0,0.20305676855895194,0.19213974475860596,0.19452054798603058,916,730,0.36562252044677734,0.3,0.1,0.5,,,,,0.1,0.5,,,0.6471084356307983,,,,,0.29999998211860657,0.3016166090965271,,feature_pos_neg,False,2.1273262973409146e-05,0.0008710026158951223,0.0008497294038534164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,clean,0.0,0,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.5686274509803921,0.38256410256410256,0.7,0.0,0.0,0.0,0.20305676855895194,0.19213974475860596,0.1972602754831314,916,730,1.4074409008026123,0.3,,,,,200.0,stability_residual,,,,,0.6471084356307983,,,,,,,,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,False,0.35289156436920166,0.7948463559150696,0.40252694487571716,0.5000000596046448,0.5721874833106995,0.10770417749881744,0.7840262651443481,0.006831891369074583,0.5,0.28914833068847656,0.10043668001890182,0.7243211269378662,0.3315795958042145,1.0,0.0,0.08270040899515152,0.5,-0.005095865577459335,,,
