method,noise_type,dataset,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,val_acc_mean,val_acc_std
GraGE-Hybrid-FO-pos-lam0.5,cross_class_oracle,Cora,0.677,0.022649503305812217,0.6552075215484129,0.03283139669729298,0.656,0.006000000000000005
GraGE-Hybrid-FO-pos-lam0.5,cross_class_oracle,PubMed,0.6880000000000001,0.008185352771872408,0.681158848300954,0.00739048649640444,0.6913333333333332,0.015275252316519444
GraGE-Hybrid-FO-pos-lam0.5,degree_aligned_random,CiteSeer,0.643,0.015588457268119926,0.6171773596968649,0.012303785636550402,0.6413333333333333,0.006429100507328626
GraGE-Hybrid-FO-pos-lam0.5,degree_aligned_random,Cora,0.7323333333333334,0.00832666399786455,0.7243583709820326,0.005309249889615438,0.7026666666666667,0.014742229591663917
GraGE-Hybrid-FO-pos-lam0.5,degree_aligned_random,PubMed,0.746,0.016462077633154343,0.7452963317027077,0.012983820186268159,0.7520000000000001,0.021633307652783956
GraGE-Hybrid-FO-pos-lam0.5,feature_similar_cross_class,CiteSeer,0.5539999999999999,0.01609347693943106,0.5359365873396541,0.013350304627898327,0.5653333333333334,0.017243356208503372
GraGE-Hybrid-FO-pos-lam0.5,feature_similar_cross_class,Cora,0.6206666666666667,0.0020816659994661747,0.6092055832056315,0.010335926085020873,0.5926666666666667,0.016165807537309552
GraGE-Hybrid-FO-pos-lam0.5,feature_similar_cross_class,PubMed,0.653,0.009539392014169465,0.6517846330318049,0.0019892642023590836,0.662,0.013114877048604014
GraGE-Hybrid-FO-pos-lam0.5,low_feature_similarity,CiteSeer,0.6286666666666667,0.026857649437978266,0.60421785521062,0.024237215656658265,0.624,0.022715633383201116
GraGE-Hybrid-FO-pos-lam0.5,low_feature_similarity,Cora,0.7023333333333333,0.008504900548115361,0.6971293687817114,0.007937713969686367,0.682,0.020880613017821095
GraGE-Hybrid-FO-pos-lam0.5,low_feature_similarity,PubMed,0.7343333333333333,0.0055075705472861025,0.7300414431072916,0.005557881810477673,0.7353333333333333,0.020033305601755657
GraGE-Hybrid-FO-pos-lam0.5,random_inter_community,CiteSeer,0.6206666666666667,0.004041451884327386,0.5937396332845565,0.004835757673647777,0.6193333333333334,0.002309401076758497
GraGE-Hybrid-FO-pos-lam0.5,random_inter_community,Cora,0.7343333333333333,0.003055050463303899,0.7271838755281922,0.006345648461878009,0.7073333333333333,0.005033222956847156
GraGE-Hybrid-FO-pos-lam0.5,random_inter_community,PubMed,0.7356666666666666,0.00802080627701065,0.731205551588701,0.006706513756378482,0.7373333333333333,0.0011547005383792366
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,cross_class_oracle,CiteSeer,0.607,0.020000000000000018,0.5811295434650269,0.020713140440438305,0.63,0.014000000000000012
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,cross_class_oracle,Cora,0.6829999999999999,0.005291502622129134,0.6663279418463727,0.008429686042482894,0.6786666666666666,0.023352373184182675
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,cross_class_oracle,PubMed,0.7143333333333333,0.013279056191361445,0.708341356749596,0.014524394828267666,0.7206666666666667,0.004163331998932284
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,degree_aligned_random,CiteSeer,0.6353333333333334,0.014294521094927721,0.6120892183453451,0.01338799657092985,0.656,0.0020000000000000018
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,degree_aligned_random,Cora,0.7216666666666667,0.008504900548115348,0.7131198495266974,0.005429853357125775,0.7106666666666666,0.014468356276140477
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,degree_aligned_random,PubMed,0.7563333333333334,0.013279056191361445,0.7540955477596997,0.01147743740368096,0.754,0.0
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,feature_similar_cross_class,CiteSeer,0.5733333333333333,0.011015141094572207,0.5558709823892912,0.00926612375388274,0.5886666666666667,0.02700617213403879
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,feature_similar_cross_class,Cora,0.6276666666666667,0.01123981020005826,0.6154205322566398,0.01577057609758515,0.6186666666666666,0.006110100926607789
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,feature_similar_cross_class,PubMed,0.6756666666666667,0.008621678104251749,0.6762520060466688,0.007245989844853377,0.6733333333333333,0.008082903768654752
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,low_feature_similarity,CiteSeer,0.6263333333333333,0.008621678104251702,0.6006403719670054,0.009643827428670072,0.6426666666666666,0.01026320287889379
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,low_feature_similarity,Cora,0.722,0.011789826122551583,0.7124157778029648,0.010675996513951033,0.7113333333333333,0.014742229591663995
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,low_feature_similarity,PubMed,0.7436666666666666,0.0025166114784236073,0.7392335485622233,0.004421175482055908,0.7553333333333333,0.015011106998930296
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,random_inter_community,CiteSeer,0.6293333333333333,0.0025166114784236407,0.6038266643286928,0.0033148465822944832,0.64,0.015099668870541512
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,random_inter_community,Cora,0.7343333333333333,0.010263202878893762,0.7262339601256471,0.008993887698560299,0.7113333333333333,0.022030282189144414
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,random_inter_community,PubMed,0.7363333333333334,0.005507570547286133,0.7329174636942098,0.004581201960447513,0.7526666666666667,0.002309401076758497
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,cross_class_oracle,CiteSeer,0.6033333333333334,0.02742869543622767,0.5792827232550181,0.026696315518504616,0.6133333333333333,0.021385353243127275
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,cross_class_oracle,Cora,0.6789999999999999,0.009539392014169465,0.6613050580259615,0.016922871477452858,0.6646666666666667,0.011547005383792535
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,cross_class_oracle,PubMed,0.71,0.013228756555322964,0.7034111441866839,0.013907337526869172,0.7159999999999999,0.021166010488516743
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,degree_aligned_random,CiteSeer,0.6343333333333333,0.01755942292142123,0.6100269242753041,0.017848084935575374,0.6473333333333334,0.009865765724632486
