dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean
Cora,cross_class_oracle,0.3,7,GCN-Jaccard,jaccard,GCN,0.682,0.6674004936101501,0.658,0.5160349854227405,0.4472520530638029,0.4791878172588832,0.19997084973036006,0.6230869889259338,0.688103437423706,13722,10978,0.7325294017791748,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,7,Random-Matched,random_matched,GCN,0.626,0.6095101075788038,0.63,0.21793002915451895,0.18888186986734049,0.20236886632825718,0.19997084973036006,0.6230869889259338,0.6234286427497864,13722,10978,0.9069838523864746,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,8,Feature-only,feature_only,GCN,0.687,0.6635595509940028,0.674,0.5196793002915452,0.4504106127605812,0.48257191201353644,0.19997084973036006,0.6230869889259338,0.6888322234153748,13722,10978,0.7521553039550781,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,8,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.664,0.6428861877407537,0.628,0.4096209912536443,0.35502210991787747,0.3803722504230118,0.19997084973036006,0.6230869889259338,0.6687921285629272,13722,10978,1.225402593612671,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8584511280059814,3.5618829770101e-06,1.8133454432245344e-05,1.4571571227861568e-05,0.2999999523162842,0.27834352850914,0.6784838769830166,,,,,,,,,,
Cora,cross_class_oracle,0.3,8,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.686,0.6627436877773824,0.64,0.3746355685131195,0.32469993682880605,0.3478849407783418,0.19997084973036006,0.6230869889259338,0.6615048050880432,13722,10978,3.7792630195617676,0.1,0.5,0.3,,0.1,0.5,,0.8584511280059814,,,,0.31735658645629883,0.3454417586326599,0.6275720598046169,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.690215327698752e-07,0.912039041519165,0.5046525001525879,0.4999999403953552
Cora,cross_class_oracle,0.3,8,DegreeAwareRandom,degree_aware_random,GCN,0.639,0.6247015031610802,0.656,0.22201375859912445,0.2242577384712571,0.22313010685103707,0.23305640577175335,0.6230869889259338,0.6237172484397888,13722,10524,0.451617956161499,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,8,GCN-Jaccard,jaccard,GCN,0.69,0.6666558379111648,0.672,0.5153061224489796,0.44662034112444726,0.47851099830795263,0.19997084973036006,0.6230869889259338,0.6879212856292725,13722,10978,0.542252779006958,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,8,Random-Matched,random_matched,GCN,0.646,0.624200976769126,0.646,0.22521865889212828,0.19519898926089704,0.20913705583756348,0.19997084973036006,0.6230869889259338,0.6221534013748169,13722,10978,1.0905680656433105,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,9,Feature-only,feature_only,GCN,0.684,0.6671513411806986,0.676,0.5102040816326531,0.4421983575489577,0.47377326565143824,0.19997084973036006,0.6230869889259338,0.6873747110366821,13722,10978,0.7859671115875244,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,9,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.664,0.6436379438420746,0.652,0.39868804664723034,0.34554643082754266,0.3702199661590525,0.19997084973036006,0.6230869889259338,0.6649662852287292,13722,10978,1.4781055450439453,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8583883047103882,6.079529413227647e-08,7.87635030974343e-07,7.268397439474938e-07,0.2999999523162842,0.27892911434173584,0.6857241479848053,,,,,,,,,,
