dataset,noise_type,method,n_seeds,method_mean_acc,method_std_acc,fo_mean_acc,fo_std_acc,delta_pp,delta_std_pp,t_stat,t_pval,wilcoxon_pval,win_rate,cohens_d,mean_runtime
Cora,low_feature_similarity,DegreeAwareRandom,10,0.6822,0.02104914883473119,0.7133,0.016145518814140915,-3.109999999999995,2.4592004120580864,-3.9991386935776703,0.003114472860973878,0.009765625,0.1,-1.2646386950615625,0.5881026983261108
Cora,low_feature_similarity,GCN-Jaccard,10,0.7134999999999999,0.015298874323150575,0.7133,0.016145518814140915,0.020000000000000018,0.3190262963734776,0.19824558013652693,0.84725859190666,0.875,0.3,0.06269075692928593,0.6419931650161743
Cora,low_feature_similarity,Random-Matched,10,0.6898000000000001,0.019560731638213865,0.7133,0.016145518814140915,-2.3499999999999965,1.2997863072230145,-5.717364816123291,0.0002879125457508911,0.001953125,0.0,-1.8079895033059377,0.8797110795974732
PubMed,cross_class_oracle,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,10,0.6615,0.009180292902613615,0.7011000000000001,0.01473808369874153,-3.9599999999999933,1.8816068782943067,-6.6552794203317465,9.317383339452103e-05,0.001953125,0.0,-2.1045841433093444,9.933431386947632
PubMed,cross_class_oracle,MCGC-cw3.0-lp0.1-ln0.5,10,0.6350999999999999,0.013723054405715317,0.7011000000000001,0.01473808369874153,-6.599999999999996,1.7894754041959386,-11.66321286572208,9.809210772866047e-07,0.001953125,0.0,-3.688231749106136,15.436365413665772
PubMed,cross_class_oracle,DegreeAwareRandom,10,0.623,0.01626857912254992,0.7011000000000001,0.01473808369874153,-7.809999999999998,2.8021618638314085,-8.813690902261508,1.012826238071631e-05,0.001953125,0.0,-2.787133784385085,3.223115658760071
PubMed,cross_class_oracle,GCN-Jaccard,10,0.6928,0.009461031186456918,0.7011000000000001,0.01473808369874153,-0.8299999999999984,1.6793186449006947,-1.5629496319294178,0.15250101784686712,0.3203125,0.4,-0.49424807050187897,3.702725076675415
PubMed,cross_class_oracle,Random-Matched,10,0.6328,0.013620246367489519,0.7011000000000001,0.01473808369874153,-6.829999999999996,1.6720247207103929,-12.917486297555177,4.10111198085723e-07,0.001953125,0.0,-4.084867834428988,7.327223682403565
PubMed,degree_aligned_random,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,10,0.7383,0.017262998323324705,0.7508999999999999,0.017463931083490036,-1.2600000000000011,1.4400617270720661,-2.7668743477499307,0.021864970315167966,0.02734375,0.2,-0.8749624938382561,8.816460442543029
PubMed,degree_aligned_random,MCGC-cw3.0-lp0.1-ln0.5,10,0.7363,0.011499275339486987,0.7508999999999999,0.017463931083490036,-1.4600000000000013,1.9039140970350779,-2.4249651762312547,0.038297501099972604,0.037109375,0.2,-0.7668413203482374,13.73698136806488
PubMed,degree_aligned_random,DegreeAwareRandom,10,0.7282,0.009715966241192904,0.7508999999999999,0.017463931083490036,-2.270000000000002,1.225697080576329,-5.8565614639523496,0.00024177437831785902,0.001953125,0.0,-1.8520073482859536,2.9200326681137083
PubMed,degree_aligned_random,GCN-Jaccard,10,0.7496000000000002,0.01007968253468333,0.7508999999999999,0.017463931083490036,-0.13000000000000012,1.5965587994183004,-0.2574888541353259,0.8025920123883564,0.822265625,0.5,-0.08142512511744954,3.410054922103882
PubMed,degree_aligned_random,Random-Matched,10,0.723,0.009591663046625447,0.7508999999999999,0.017463931083490036,-2.7900000000000027,1.9034763518946667,-4.635074485211159,0.0012278057727896582,0.00390625,0.1,-1.4657392497799697,5.511337947845459
PubMed,low_feature_similarity,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,10,0.7168999999999999,0.010785278031753397,0.7416,0.009371351141762983,-2.470000000000002,1.3004700005083643,-6.0061560955366815,0.0002009767588465367,0.001953125,0.0,-1.8993133244399787,11.546232652664184
PubMed,low_feature_similarity,MCGC-cw3.0-lp0.1-ln0.5,10,0.693,0.01650589120418657,0.7416,0.009371351141762983,-4.860000000000001,1.5980543725974314,-9.617112966837627,4.947410239392368e-06,0.001953125,0.0,-3.041198149034627,22.512444424629212
PubMed,low_feature_similarity,DegreeAwareRandom,10,0.6911,0.009538809615926305,0.7416,0.009371351141762983,-5.050000000000001,0.8959786703810391,-17.823529411764742,2.501979789834368e-08,0.001953125,0.0,-5.63629488841777,2.996002984046936
PubMed,low_feature_similarity,GCN-Jaccard,10,0.7494999999999999,0.004972144630058771,0.7416,0.009371351141762983,0.7900000000000008,0.8987027688099487,2.7797837485702943,0.021408334713321354,0.03125,0.8,0.8790448048202958,3.4880921125411986
PubMed,low_feature_similarity,Random-Matched,10,0.696,0.013727506854649291,0.7416,0.009371351141762983,-4.56,1.0915839663331206,-13.21014834874117,3.383186211256496e-07,0.001953125,0.0,-4.17741570107344,8.015499258041382
