run_id,timestamp,seed,dataset,method,oracle_only,proxy_model,downstream_model,actual_prune_ratio,num_edges_before,num_edges_after,isolated_nodes,min_degree,mean_degree,largest_connected_component_ratio,val_acc,test_acc,test_f1,best_epoch,runtime,config_path,graph_path,checkpoint_path,bad_edge_precision,bad_edge_recall,bad_edge_f1,clean_edge_mistakenly_removed_ratio
noisy_random_Cora_n0.1_s3,2026-05-30T20:41:14.389525,3,Cora,Random+Noise,False,-,GCN,0.09405753217259649,10568,9574,0,0,0,,0.758,0.774,0.7674358467870696,57,0.4551968574523926,configs/graca_lite_cora.yaml,,,0.002012072434607646,0.16666666666666666,0.003976143141153081,0.09397499052671467
noisy_orig_Cora_n0.2_s3,2026-05-30T20:41:14.841793,3,Cora,Original+Noise,False,-,GCN,0.0,10561,10561,0,0,0,,0.782,0.784,0.7756006445497767,54,0.43442535400390625,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.2_s3,2026-05-30T20:41:16.517815,3,Cora,GraCA-lite+Noise,False,GCN,GCN,0.0916579869330556,10561,9593,0,1.0,3.542466878890991,,0.782,0.781,0.7726567901863385,59,0.4532780647277832,configs/graca_lite_cora.yaml,,,0.002066115702479339,0.4,0.0041109969167523125,0.09151193633952255
noisy_random_Cora_n0.2_s3,2026-05-30T20:41:17.645917,3,Cora,Random+Noise,False,-,GCN,0.0916579869330556,10561,9593,0,0,0,,0.764,0.767,0.7594266905280576,47,0.425015926361084,configs/graca_lite_cora.yaml,,,0.0010330578512396695,0.2,0.0020554984583761563,0.09160666919287609
noisy_orig_Cora_n0.3_s3,2026-05-30T20:41:18.054992,3,Cora,Original+Noise,False,-,GCN,0.0,10579,10579,0,0,0,,0.78,0.789,0.7754212321960503,37,0.3917856216430664,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.3_s3,2026-05-30T20:41:19.583064,3,Cora,GraCA-lite+Noise,False,GCN,GCN,0.09603932318744679,10579,9563,0,1.0,3.531388521194458,,0.778,0.78,0.7662250328262313,40,0.40850257873535156,configs/graca_lite_cora.yaml,,,0.0,0.0,0.0,0.0962485790071997
noisy_random_Cora_n0.3_s3,2026-05-30T20:41:21.147768,3,Cora,Random+Noise,False,-,GCN,0.09594479629454578,10579,9564,0,0,0,,0.758,0.754,0.7312957297676783,26,0.3798701763153076,configs/graca_lite_cora.yaml,,,0.0009852216748768472,0.043478260869565216,0.0019267822736030824,0.0960591133004926
noisy_orig_Cora_n0.05_s4,2026-05-30T20:41:25.055518,4,Cora,Original+Noise,False,-,GCN,0.0,10560,10560,0,0,0,,0.794,0.791,0.7764477567139458,51,0.733365535736084,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.05_s4,2026-05-30T20:41:26.761629,4,Cora,GraCA-lite+Noise,False,GCN,GCN,0.0948863636363636,10560,9558,0,1.0,3.5295422077178955,,0.774,0.779,0.763754254197997,56,0.44088006019592285,configs/graca_lite_cora.yaml,,,0.0,0.0,0.0,0.0949223190602501
noisy_random_Cora_n0.05_s4,2026-05-30T20:41:28.411376,4,Cora,Random+Noise,False,-,GCN,0.09479166666666672,10560,9559,0,0,0,,0.77,0.778,0.7647266985850873,58,0.4399445056915283,configs/graca_lite_cora.yaml,,,0.0,0.0,0.0,0.09482758620689655
noisy_orig_Cora_n0.1_s4,2026-05-30T20:41:28.857000,4,Cora,Original+Noise,False,-,GCN,0.0,10566,10566,0,0,0,,0.792,0.797,0.7825047344322883,52,0.4277646541595459,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.1_s4,2026-05-30T20:41:30.429073,4,Cora,GraCA-lite+Noise,False,GCN,GCN,0.09435926556880558,10566,9569,0,1.0,3.533604145050049,,0.778,0.787,0.7726027247684397,58,0.4451558589935303,configs/graca_lite_cora.yaml,,,0.0010030090270812437,0.1,0.0019860973187686196,0.09435392194012884
noisy_random_Cora_n0.1_s4,2026-05-30T20:41:32.367221,4,Cora,Random+Noise,False,-,GCN,0.0942646223736513,10566,9570,0,0,0,,0.786,0.792,0.7830622483940101,90,0.5308783054351807,configs/graca_lite_cora.yaml,,,0.001004016064257028,0.1,0.0019880715705765406,0.09425918908677529
noisy_orig_Cora_n0.2_s4,2026-05-30T20:41:32.811565,4,Cora,Original+Noise,False,-,GCN,0.0,10578,10578,0,0,0,,0.792,0.792,0.7801316716125889,50,0.42743420600891113,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.2_s4,2026-05-30T20:41:34.499702,4,Cora,GraCA-lite+Noise,False,GCN,GCN,0.09727736812251842,10578,9549,1,0.0,3.5262186527252197,,0.776,0.776,0.7673532524409341,104,0.5799205303192139,configs/graca_lite_cora.yaml,,,0.0009718172983479105,0.045454545454545456,0.0019029495718363464,0.09738537324744222
noisy_random_Cora_n0.2_s4,2026-05-30T20:41:35.841959,4,Cora,Random+Noise,False,-,GCN,0.09718283229343916,10578,9550,0,0,0,,0.784,0.78,0.767970420065979,55,0.45429134368896484,configs/graca_lite_cora.yaml,,,0.0009727626459143969,0.045454545454545456,0.0019047619047619048,0.09729064039408868
noisy_orig_Cora_n0.3_s4,2026-05-30T20:41:36.294472,4,Cora,Original+Noise,False,-,GCN,0.0,10581,10581,0,0,0,,0.778,0.779,0.7652052716124258,49,0.4355659484863281,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.3_s4,2026-05-30T20:41:37.879860,4,Cora,GraCA-lite+Noise,False,GCN,GCN,0.09139022776675176,10581,9614,0,1.0,3.5502216815948486,,0.772,0.77,0.7526441979696428,49,0.43738627433776855,configs/graca_lite_cora.yaml,,,0.005170630816959669,0.2,0.010080645161290322,0.09113300492610837
noisy_random_Cora_n0.3_s4,2026-05-30T20:41:39.222162,4,Cora,Random+Noise,False,-,GCN,0.09139022776675176,10581,9614,0,0,0,,0.77,0.766,0.7518456719802641,41,0.40477466583251953,configs/graca_lite_cora.yaml,,,0.005170630816959669,0.2,0.010080645161290322,0.09113300492610837
noisy_orig_Cora_n0.05_s5,2026-05-30T20:41:43.101173,5,Cora,Original+Noise,False,-,GCN,0.0,10561,10561,0,0,0,,0.778,0.788,0.7809346313016196,55,0.7562606334686279,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.05_s5,2026-05-30T20:41:45.007542,5,Cora,GraCA-lite+Noise,False,GCN,GCN,0.09733926711485652,10561,9533,0,1.0,3.520310163497925,,0.768,0.771,0.7603230603753574,90,0.555671215057373,configs/graca_lite_cora.yaml,,,0.0,0.0,0.0,0.09738537324744222
noisy_random_Cora_n0.05_s5,2026-05-30T20:41:46.354456,5,Cora,Random+Noise,False,-,GCN,0.09724457911182649,10561,9534,0,0,0,,0.766,0.766,0.7616484400660701,54,0.4420287609100342,configs/graca_lite_cora.yaml,,,0.0,0.0,0.0,0.09729064039408868
noisy_orig_Cora_n0.1_s5,2026-05-30T20:41:46.811262,5,Cora,Original+Noise,False,-,GCN,0.0,10569,10569,0,0,0,,0.774,0.787,0.7789275907126434,54,0.4393007755279541,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.1_s5,2026-05-30T20:41:48.437504,5,Cora,GraCA-lite+Noise,False,GCN,GCN,0.10010407796385656,10569,9511,0,1.0,3.512186050415039,,0.776,0.771,0.762050170969742,64,0.4813721179962158,configs/graca_lite_cora.yaml,,,0.003780718336483932,0.3076923076923077,0.007469654528478058,0.09984842743463433
noisy_random_Cora_n0.1_s5,2026-05-30T20:41:49.942197,5,Cora,Random+Noise,False,-,GCN,0.10010407796385656,10569,9511,0,0,0,,0.774,0.77,0.7625632075445915,83,0.5247654914855957,configs/graca_lite_cora.yaml,,,0.001890359168241966,0.15384615384615385,0.003734827264239029,0.10003789314134141
noisy_orig_Cora_n0.2_s5,2026-05-30T20:41:50.493614,5,Cora,Original+Noise,False,-,GCN,0.0,10572,10572,0,0,0,,0.776,0.79,0.7813845537184703,64,0.4875459671020508,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.2_s5,2026-05-30T20:41:52.388063,5,Cora,GraCA-lite+Noise,False,GCN,GCN,0.09856223987892543,10572,9530,0,1.0,3.519202470779419,,0.77,0.768,0.7594119290356875,124,0.6568162441253662,configs/graca_lite_cora.yaml,,,0.0019193857965451055,0.125,0.003780718336483932,0.09852216748768473
noisy_random_Cora_n0.2_s5,2026-05-30T20:41:53.759285,5,Cora,Random+Noise,False,-,GCN,0.09846765039727579,10572,9531,0,0,0,,0.766,0.772,0.7586425820424632,48,0.4333837032318115,configs/graca_lite_cora.yaml,,,0.002881844380403458,0.1875,0.005676442762535477,0.09833270178097764
noisy_orig_Cora_n0.3_s5,2026-05-30T20:41:54.259979,5,Cora,Original+Noise,False,-,GCN,0.0,10575,10575,0,0,0,,0.778,0.796,0.7876694549850917,68,0.48380184173583984,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.3_s5,2026-05-30T20:41:55.883120,5,Cora,GraCA-lite+Noise,False,GCN,GCN,0.10014184397163117,10575,9516,0,1.0,3.5140326023101807,,0.774,0.766,0.7574158456546538,67,0.4843447208404541,configs/graca_lite_cora.yaml,,,0.004721435316336166,0.2631578947368421,0.009276437847866418,0.09984842743463433
noisy_random_Cora_n0.3_s5,2026-05-30T20:41:57.083717,5,Cora,Random+Noise,False,-,GCN,0.10004728132387708,10575,9517,0,0,0,,0.766,0.78,0.7717468946663802,54,0.43953680992126465,configs/graca_lite_cora.yaml,,,0.002835538752362949,0.15789473684210525,0.0055710306406685246,0.09994316028798787
noisy_orig_Cora_n0.05_s6,2026-05-30T20:42:00.935286,6,Cora,Original+Noise,False,-,GCN,0.0,10560,10560,0,0,0,,0.792,0.799,0.7901696629186986,57,0.7470273971557617,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.05_s6,2026-05-30T20:42:02.568950,6,Cora,GraCA-lite+Noise,False,GCN,GCN,0.09696969696969693,10560,9536,0,1.0,3.5214180946350098,,0.782,0.771,0.7642747818616933,41,0.3967580795288086,configs/graca_lite_cora.yaml,,,0.0,0.0,0.0,0.09700644183402804
noisy_random_Cora_n0.05_s6,2026-05-30T20:42:04.045092,6,Cora,Random+Noise,False,-,GCN,0.09687500000000004,10560,9537,0,0,0,,0.796,0.792,0.77953115001662,38,0.36370158195495605,configs/graca_lite_cora.yaml,,,0.0,0.0,0.0,0.0969117089806745
noisy_orig_Cora_n0.1_s6,2026-05-30T20:42:04.463366,6,Cora,Original+Noise,False,-,GCN,0.0,10566,10566,0,0,0,,0.792,0.792,0.7841893486151642,45,0.3974277973175049,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.1_s6,2026-05-30T20:42:05.981489,6,Cora,GraCA-lite+Noise,False,GCN,GCN,0.0949271247397312,10566,9563,0,1.0,3.531388521194458,,0.788,0.789,0.7801052831277995,46,0.4084188938140869,configs/graca_lite_cora.yaml,,,0.0009970089730807576,0.1,0.0019743336623889436,0.0949223190602501
noisy_random_Cora_n0.1_s6,2026-05-30T20:42:07.166481,6,Cora,Random+Noise,False,-,GCN,0.09483248154457691,10566,9564,0,0,0,,0.788,0.775,0.763468449300392,41,0.39517807960510254,configs/graca_lite_cora.yaml,,,0.0,0.0,0.0,0.0949223190602501
noisy_orig_Cora_n0.2_s6,2026-05-30T20:42:07.578896,6,Cora,Original+Noise,False,-,GCN,0.0,10576,10576,0,0,0,,0.784,0.786,0.7761728186079874,42,0.39560866355895996,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.2_s6,2026-05-30T20:42:09.142827,6,Cora,GraCA-lite+Noise,False,GCN,GCN,0.0956883509833586,10576,9564,0,1.0,3.5317578315734863,,0.776,0.783,0.7759855794407101,60,0.4482705593109131,configs/graca_lite_cora.yaml,,,0.0,0.0,0.0,0.09586964759378552
noisy_random_Cora_n0.2_s6,2026-05-30T20:42:10.730284,6,Cora,Random+Noise,False,-,GCN,0.0956883509833586,10576,9564,0,0,0,,0.786,0.77,0.76132172831254,42,0.4197568893432617,configs/graca_lite_cora.yaml,,,0.0009881422924901185,0.05,0.0019379844961240308,0.09577491474043198
noisy_orig_Cora_n0.3_s6,2026-05-30T20:42:11.161276,6,Cora,Original+Noise,False,-,GCN,0.0,10583,10583,0,0,0,,0.784,0.785,0.7750803340689413,42,0.4128756523132324,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.3_s6,2026-05-30T20:42:12.723643,6,Cora,GraCA-lite+Noise,False,GCN,GCN,0.09723140886327131,10583,9554,0,1.0,3.5280649662017822,,0.776,0.781,0.7703057727844956,54,0.44298696517944336,configs/graca_lite_cora.yaml,,,0.0029154518950437317,0.1111111111111111,0.005681818181818182,0.09719590754073512
noisy_random_Cora_n0.3_s6,2026-05-30T20:42:13.986038,6,Cora,Random+Noise,False,-,GCN,0.09723140886327131,10583,9554,0,0,0,,0.786,0.768,0.7595894681015812,56,0.4580240249633789,configs/graca_lite_cora.yaml,,,0.0029154518950437317,0.1111111111111111,0.005681818181818182,0.09719590754073512
noisy_orig_Cora_n0.05_s7,2026-05-30T20:42:17.919833,7,Cora,Original+Noise,False,-,GCN,0.0,10559,10559,0,0,0,,0.768,0.798,0.7921544652736496,69,0.8210568428039551,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.05_s7,2026-05-30T20:42:19.686322,7,Cora,GraCA-lite+Noise,False,GCN,GCN,0.095463585566815,10559,9551,0,1.0,3.5269572734832764,,0.774,0.784,0.7798152666187789,63,0.4694335460662842,configs/graca_lite_cora.yaml,,,0.0,0.0,0.0,0.09549071618037135
