dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,hp_ambig_scale,hp_base_alpha,hp_base_beta,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs
Cora,feature_similar_cross_class,0.3,1,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.642,0.6285063747537167,0.614,0.16399416909620992,0.14213518635502212,0.15228426395939088,0.19997084973036006,0.6230869889259338,0.6248860955238342,13722,10978,2.0578982830047607,0.1,0.5,0.3,,,,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,1,MCGC-cw3.0-lp0.25-ln0.25,mcgc,GCN,0.6,0.6027454299480279,0.598,0.10714285714285714,0.09286165508528112,0.09949238578680204,0.19997084973036006,0.6230869889259338,0.6114045977592468,13722,10978,2.273876905441284,0.25,0.25,0.3,,,,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,1,Random-Matched,random_matched,GCN,0.665,0.656838535523365,0.684,0.2434402332361516,0.21099178774478838,0.22605752961082912,0.19997084973036006,0.6230869889259338,0.6257970333099365,13722,10978,0.9313101768493652,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,Feature-only,feature_only,GCN,0.592,0.5824500910231112,0.566,0.08965014577259475,0.07770056854074542,0.083248730964467,0.19997084973036006,0.6230869889259338,0.6072143912315369,13722,10978,0.7759037017822266,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.588,0.5865442172021463,0.562,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.5900892615318298,13722,10978,1.48378324508667,0.1,0.5,0.3,,,,,,
Cora,feature_similar_cross_class,0.3,2,FAA-Hybrid-as0.5-lp0.1-ln0.5,faa_hybrid,GCN,0.593,0.5841574359434077,0.564,0.06486880466472303,0.05622236260265319,0.06023688663282572,0.19997084973036006,0.6230869889259338,0.6028420329093933,13722,10978,1.2329978942871094,0.1,0.5,0.3,0.5,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,2,FAA-Hybrid-as0.5-lp0.25-ln0.25,faa_hybrid,GCN,0.586,0.5801836496477245,0.558,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6077609658241272,13722,10978,1.2811450958251953,0.25,0.25,0.3,0.5,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,2,FAA-Hybrid-as1.0-lp0.1-ln0.5,faa_hybrid,GCN,0.595,0.5952518153772289,0.554,0.038629737609329445,0.033480732785849655,0.03587140439932318,0.19997084973036006,0.6230869889259338,0.5979230999946594,13722,10978,1.3692355155944824,0.1,0.5,0.3,1.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,2,FAA-Hybrid-as1.0-lp0.25-ln0.25,faa_hybrid,GCN,0.608,0.60542799323823,0.58,0.08527696793002916,0.0739102969046115,0.07918781725888326,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,1.3908793926239014,0.25,0.25,0.3,1.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,2,FAA-Hybrid-as2.0-lp0.1-ln0.5,faa_hybrid,GCN,0.569,0.5669059574831181,0.558,0.008746355685131196,0.007580543272267846,0.008121827411167513,0.19997084973036006,0.6230869889259338,0.5926398038864136,13722,10978,1.3625028133392334,0.1,0.5,0.3,2.0,0.0,0.0,,,
